question,answer
Who was Adolf Hitler and why is he considered one of the most infamous figures in history?,"Adolf Hitler was a German politician and dictator who led the Nazi Party and is infamous for initiating World War II and orchestrating the Holocaust, which caused millions of deaths."
Where and when was Adolf Hitler born?,"Adolf Hitler was born on April 20, 1889, in Braunau am Inn, Austria-Hungary, which is now modern-day Austria."
What career did Hitler initially aspire to before entering politics?,Hitler initially aspired to become an artist but was rejected twice by the Academy of Fine Arts Vienna.
Which event marked Hitler’s first major failed attempt to seize power?,Hitler’s first major failed attempt to seize power was the Beer Hall Putsch in Munich in 1923.
What book did Hitler write during his imprisonment and what ideology did it promote?,"Hitler wrote Mein Kampf during his imprisonment, which promoted anti-Semitism, Aryan supremacy, anti-communism, and the idea of Lebensraum for Germans."
In which year was Adolf Hitler appointed Chancellor of Germany?,Adolf Hitler was appointed Chancellor of Germany in 1933.
What laws stripped Jews of their citizenship and civil rights in Nazi Germany?,The Nuremberg Laws of 1935 stripped Jews of their citizenship and civil rights in Nazi Germany.
Which invasion by Nazi Germany led Britain and France to declare war?,The invasion of Poland in 1939 by Nazi Germany led Britain and France to declare war.
What military tactic did Nazi Germany use to rapidly conquer much of Europe?,Nazi Germany used the Blitzkrieg tactic to rapidly conquer much of Europe.
What were two major strategic mistakes made by Hitler during World War II?,Two major strategic mistakes by Hitler were invading the Soviet Union and declaring war on the United States.
